film_title,bechdel_test,male_rating,male_num_reviews,female_rating,female_num_reviews,majority_reviewer_gender,gender_who_preferred,large_diff
Django Unchained,fail,8.5,411457,8.5,90332,male,equal,FALSE
The Door,pass,6.3,534,7.1,299,male,female,TRUE
Dredd 3D,pass,7.1,123848,6.8,12173,male,male,FALSE
Eega,fail,7.9,4620,7.7,232,male,male,FALSE
Elementary,pass,7.9,21502,8.1,12325,male,female,FALSE
End of Watch,pass,7.7,103109,7.6,14204,male,male,FALSE
English Vinglish,pass,7.9,9166,8,1436,male,female,FALSE
Entrance,pass,4.9,467,4.4,125,male,male,TRUE
Ernest & Celestine,fail,7.8,2926,8,895,male,female,FALSE
Evangelion: 3.0 You Can (Not) Redo,pass,6.9,2015,7,229,male,female,FALSE
Excision,pass,6,7041,6.3,2323,male,female,FALSE
The Expendables 2,pass,6.8,146274,6.8,16580,male,equal,FALSE
Extracted,fail,6.4,5028,6.6,895,male,female,FALSE
The Factory,pass,5.6,3722,6,1110,male,female,TRUE
Fast Girls,pass,5.8,713,6.8,549,male,female,TRUE
Fat Kid Rules the World,fail,6.5,1554,6.7,454,male,female,FALSE
Fin,pass,4.9,1250,5,311,male,female,FALSE
The Five-Year Engagement,pass,6.2,37814,6.1,19187,male,male,FALSE
Flight,pass,7.3,146750,7.2,27510,male,male,FALSE
